Rank,Streamer,start_month,avg_avg_viewers
13,thegrefg,20-Dec,45702.69697
13,thegrefg,20-Nov,37599.23529
13,thegrefg,20-Oct,31149.60606
13,thegrefg,20-Sep,40592.85714
13,thegrefg,20-Aug,48291.96296
13,thegrefg,20-Jul,40109.58824
13,thegrefg,20-Jun,47903.9697
13,thegrefg,20-May,52429.25
13,thegrefg,20-Apr,23117.08333
13,thegrefg,20-Mar,10932.9697
13,thegrefg,20-Feb,12022.37037
13,thegrefg,20-Jan,29642.46154
13,thegrefg,19-Dec,10838
13,thegrefg,19-Nov,16856.25
13,thegrefg,19-Oct,14264.19231
13,thegrefg,16-Jul,18498
13,thegrefg,16-Jan,846.5
13,thegrefg,15-Nov,2436.142857
13,thegrefg,15-Sep,7663.166667
13,thegrefg,15-Aug,4673.071429
14,asmongold,21-Mar,53495
14,asmongold,21-Jan,28754
14,asmongold,20-Dec,46261.81818
14,asmongold,20-Nov,48926.88889
14,asmongold,20-Oct,43376.09524
14,asmongold,20-Sep,37880.04762
14,asmongold,20-Aug,43135.13333
14,asmongold,20-Jul,44499.95455
14,asmongold,20-Jun,37862.2381
14,asmongold,20-May,40736.36364
14,asmongold,20-Apr,40508.30435
14,asmongold,19-Dec,21810.66667
14,asmongold,19-Nov,31422.90476
14,asmongold,19-Oct,35796.22727
14,asmongold,19-Sep,59716.91304
14,asmongold,19-Aug,40742.57692
14,asmongold,19-Jul,24118.33333
14,asmongold,19-Jun,27612.48
14,asmongold,19-May,36747.08696
14,asmongold,19-Apr,16553.66667
14,asmongold,19-Feb,13580.88235
14,asmongold,19-Jan,22157.90476
14,asmongold,18-Dec,23612.73684
14,asmongold,18-Nov,21473.5
14,asmongold,18-Oct,20045.28571
14,asmongold,18-Sep,24342.33333
14,asmongold,18-Aug,25714.88
14,asmongold,18-Jul,20604.125
14,asmongold,18-Jun,10367.15789
14,asmongold,18-May,8573.95
14,asmongold,18-Apr,8866.809524
14,asmongold,18-Mar,8792.409091
14,asmongold,18-Feb,9982.117647
14,asmongold,18-Jan,7576.608696
14,asmongold,17-Dec,6888
14,asmongold,17-Nov,9617.347826
14,asmongold,17-Oct,5725.423077
14,asmongold,17-Sep,5501.038462
14,asmongold,17-Aug,3962.64
14,asmongold,17-Jul,3015.052632
14,asmongold,17-Jun,3585.2
14,asmongold,17-May,2542.608696
14,asmongold,17-Apr,2841.2
14,asmongold,17-Mar,2642.363636
14,asmongold,17-Feb,3409.038462
14,asmongold,17-Jan,3054.642857
14,asmongold,16-Dec,2935.785714
14,asmongold,16-Nov,3249.291667
14,asmongold,16-Oct,3862.0625
14,asmongold,16-Sep,4322.888889
14,asmongold,16-Aug,3912.851852
14,asmongold,16-Jul,2371.818182
14,asmongold,16-Jun,1324
14,asmongold,16-May,1223.368421
14,asmongold,16-Apr,1323
14,asmongold,16-Feb,922.25
14,asmongold,16-Jan,958.3333333
14,asmongold,15-Dec,1529.75
14,asmongold,15-Nov,1256.666667
14,asmongold,15-Oct,836.25
15,sodapoppin,21-Mar,18106
15,sodapoppin,21-Feb,25315.92308
15,sodapoppin,21-Jan,20455.28571
15,sodapoppin,20-Dec,23204.24
15,sodapoppin,20-Nov,19081.2
15,sodapoppin,20-Oct,23375.14815
15,sodapoppin,20-Sep,17389.6
15,sodapoppin,20-Aug,21101.53846
15,sodapoppin,20-Jul,20048.05882
15,sodapoppin,20-Jun,17151.57143
15,sodapoppin,20-May,17487.28571
15,sodapoppin,20-Apr,16774.65217
